text	id	sentiment	annotator	annotation_id	created_at	updated_at	lead_time
Puak puak ni kerja dia salahkan orang ja. SELangkah, Selangor, Google, rakyat konon bodoh tak tahu masukkan alamat sendiri. Semua la salah kecuali diri depa sendiri.	68128	Negative	27	4122	2022-02-14T15:42:23.903400Z	2022-02-14T15:42:23.903415Z	2.475
@_QayraRedzuan Ooo ok2 tq qayraa	68127	Positive	27	4121	2022-02-14T15:42:21.041497Z	2022-02-14T15:42:21.041515Z	1.702
@fedtriyahya Not to be biased. Tpi sy suka loghat sabah. Different region have different dialect, tawau, kk, sandakan, bongawan etc. So beautiful	68126	Positive	27	4120	2022-02-14T15:42:18.946594Z	2022-02-14T15:42:18.946608Z	3.321
Melaka hebatttt	68125	Positive	27	4119	2022-02-14T15:42:15.225918Z	2022-02-14T15:42:15.225951Z	1.569
Betui! Fashion designer cakap bab agama sikit pun dah sanjung, kalau ustaz2 ajar agama tak nak dengar pulak.	68124	Negative	27	4118	2022-02-14T15:42:12.950566Z	2022-02-14T15:42:12.950579Z	2.911
Kat mana ni?	68123	Neutral	27	4117	2022-02-14T15:42:09.668636Z	2022-02-14T15:42:09.668648Z	1.14
Dh lama tak try 10k.. pakcik dh tua	68121	Neutral	27	4115	2022-02-14T15:42:05.196885Z	2022-02-14T15:42:05.196900Z	4.299
@addiinitazzik Tkpayah. Kita amalkan g lari rumah mak supaya tak jumpa laki hahaha	68120	Neutral	27	4114	2022-02-14T15:42:00.453584Z	2022-02-14T15:42:00.453597Z	2.389
@hakimie55 saya ke awk nk cita ?	68119	Neutral	27	4113	2022-02-14T15:41:57.659336Z	2022-02-14T15:41:57.659350Z	7.174
Gila kau yg bertugas CITF tak mungkin tua mana la, sbb tua bangka apa hapak tk reti. Tapi dah tahap deep state dah.	68118	Negative	27	4112	2022-02-14T15:41:50.075952Z	2022-02-14T15:41:50.075967Z	2.817
@10pangkat9 Hahahahah inshallah man	68117	Positive	27	4111	2022-02-14T15:41:46.893682Z	2022-02-14T15:41:46.893697Z	1.24
@Julian18632594 @twt_borneomy Apa yang x jelas? Mun sik jelas, baca la article ya terus. And use ur logic. Sikda neelofa d kch tok aih	68115	Negative	27	4109	2022-02-14T15:41:43.699545Z	2022-02-14T15:41:43.699558Z	2.017
aku dah cuba	68114	Neutral	27	4108	2022-02-14T15:41:41.287867Z	2022-02-14T15:41:41.287883Z	1.191
@tiniz Muar area, can help insyallah.	68112	Positive	27	4106	2022-02-14T15:41:37.368969Z	2022-02-14T15:41:37.368984Z	2.947
@aziatulima Hehe in shaa Allah. Doa Semoga dipermudahkan ye take care iema	68110	Positive	27	4104	2022-02-14T15:41:29.484734Z	2022-02-14T15:41:29.484748Z	2.049
Honest review ! I pon pakai ni . Pakai dengan serum dia sumpah best . Rambut jdi lembut gileeee	68109	Positive	27	4103	2022-02-14T15:41:27.063430Z	2022-02-14T15:41:27.063441Z	2.269
Dah lah tak biasa tidur dekat luar, mesti sejuk.	68103	Neutral	27	4097	2022-02-14T15:40:56.016236Z	2022-02-14T15:40:56.016250Z	2.18
Me : Ehhhh tiba2 huda jadi baik ? Husband : hidayah milik Allah #rinduawakseparuhnyawa	68102	Positive	27	4096	2022-02-14T15:40:53.448551Z	2022-02-14T15:40:53.448565Z	7.331
Penat mental. Penat emosi. Sekian.	68101	Negative	27	4095	2022-02-14T15:40:45.717573Z	2022-02-14T15:40:45.717586Z	1.241
Hafiz hamidun misalnya	68100	Neutral	27	4094	2022-02-14T15:40:44.063518Z	2022-02-14T15:40:44.063530Z	1.702
Dia macam ni tauu bila diri sendiri yang gaji dia tk happy tau kekadang tak perasan pun dah gaji. Tapi bila laki ka https://t.co/wE80aFRgWr	68099	Negative	27	4093	2022-02-14T15:40:41.904901Z	2022-02-14T15:40:41.904914Z	2.735
@ZackAvaricious untungnyaa	68098	Positive	27	4092	2022-02-14T15:40:38.802866Z	2022-02-14T15:40:38.802879Z	1.95
Manalah aku tahu jalan sini	68097	Neutral	27	4091	2022-02-14T15:40:36.462749Z	2022-02-14T15:40:36.462765Z	1.754
Sebabkan org bangsat mcm kau PAS jadi jahanam @solhisharif . Sebangsat bangsat manusia	68096	Negative	27	4090	2022-02-14T15:40:34.318741Z	2022-02-14T15:40:34.318757Z	1.143
Baca ini serasa kembali ke jaman itu,	68095	Neutral	27	4089	2022-02-14T15:40:32.789410Z	2022-02-14T15:40:32.789423Z	3.54
Aku pun penah dapat offer duit saguhati sikit untuk approve panel project company ni RM 100 juta. Tapi goyang juga https://t.co/lqw028qb5k	68093	Neutral	27	4087	2022-02-14T15:40:26.214265Z	2022-02-14T15:40:26.214280Z	27686.534
Local: Sabah &amp; Sarawak International: South Korea	68092	Neutral	27	4086	2022-02-14T07:58:57.397522Z	2022-02-14T07:58:57.397538Z	2.493
Rt ramai2... Biar satu Malaysia tahu apa yg jadi dgn hutan Malaysia skrg	68091	Negative	27	4085	2022-02-14T07:58:54.506983Z	2022-02-14T07:58:54.506999Z	2.143
@shawnkid_ ada bet $5k untuk dia menang. tu lagi bodoh	68088	Negative	27	4082	2022-02-14T07:58:39.970434Z	2022-02-14T07:58:39.970448Z	1.552
@Senjajingga30 Aamiin. Terima kasih untuk dukungan dan apresiasi yang diberikan. Selamat berakhir pekan :) -Rahmat-	68087	Positive	27	4081	2022-02-14T07:58:37.996860Z	2022-02-14T07:58:37.996875Z	1.158
@vafnte @collegemenfess penelitian panda	68086	Neutral	27	4080	2022-02-14T07:58:36.452134Z	2022-02-14T07:58:36.452149Z	1.897
"""BERSAMA KITA TEGUH"" PERSATUAN KEBAJIKAN ANAK NEGERI KELANTAN (D'NAIM) UNIVERSITI PUTRA MALAYSIA SIDANG 2020/2021 https://t.co/dNDSoa043s"	68084	Positive	27	4078	2022-02-14T07:58:28.043317Z	2022-02-14T07:58:28.043330Z	2.67
0912 SEKATAN POLIS Lraya NKVE(E1): Tol Duta arah ke Pusat Bandar Tol Subang arah ke Jln Lapangan Terbang Subang Tol Dsara arah ke Tropicana City Mall Tol Shah Alam di kedua arah Tol Bukit Raja arah ke Shah Aam Tol Setia Alam arah ke Shah Alam Tol USJ arah ke Subang @Rakitamy	68082	Neutral	27	4076	2022-02-14T07:58:15.640293Z	2022-02-14T07:58:15.640306Z	1.73
Baru faham.	68080	Neutral	27	4074	2022-02-14T07:58:03.825263Z	2022-02-14T07:58:03.825280Z	1.098
Rindu nak bercuti, nak jalan-jalan, bersuka ria dengan kawan-kawan. Kalau bukan sebab PRN Sabah, kita dah hampir be https://t.co/EjIAsXPTOH	68079	Positive	27	4073	2022-02-14T07:58:02.306668Z	2022-02-14T07:58:02.306680Z	2.092
@fyshkkry dasar hingusan	68078	Negative	27	4072	2022-02-14T07:57:59.856418Z	2022-02-14T07:57:59.856430Z	1.207
Tak muda ah cuti tido awal ni	68077	Neutral	27	4071	2022-02-14T07:57:58.247502Z	2022-02-14T07:57:58.247516Z	2.847
@harakahdailyHD Terbaik frontliners	68076	Positive	27	4070	2022-02-14T07:57:55.014057Z	2022-02-14T07:57:55.014071Z	1.791
kali terakhir naik feri https://t.co/W7At2rEesm	68075	Neutral	27	4069	2022-02-14T07:57:52.828730Z	2022-02-14T07:57:52.828747Z	1.97
Selamat Tengahari https://t.co/HiQT8gbbHr	68074	Neutral	27	4068	2022-02-14T07:57:50.461182Z	2022-02-14T07:57:50.461196Z	195.976
Grup mereka mau berpura-pura bukan penyebab hancurnya ekonomi Indonesia dipikir semua warga Indonesia itu anak2 TK https://t.co/azMn3W4KnC	68072	Negative	27	4066	2022-02-14T07:54:31.556737Z	2022-02-14T07:54:31.556750Z	4.1
@DamiaAmiruddin dia kata tu perak ?	68071	Neutral	27	4065	2022-02-14T07:54:27.050825Z	2022-02-14T07:54:27.050839Z	1.75
Beg picnic / Playground Zenia ni jd pekasam jap dlm lemari. Tunggu pak cobid ni beransur pulih ye. Kita jalan deka https://t.co/HAWlUfXM8L	68069	Neutral	27	4063	2022-02-14T07:54:21.046531Z	2022-02-14T07:54:21.046543Z	6.194
LOCAL: Terengganu (dah berapa kali postpone tiket) and Penang again! INTERNATIONAL:	68067	Negative	27	4061	2022-02-14T07:54:09.781477Z	2022-02-14T07:54:09.781492Z	6.211
Mcm bab*	68066	Negative	27	4060	2022-02-14T07:54:03.146852Z	2022-02-14T07:54:03.146877Z	110.272
#BHkes Polis siasat dakwaan Menteri Besar Kedah langgar SOP, pandu uji kereta di Pulau Pinang https://t.co/SkHfGSc9xR	68065	Negative	27	4059	2022-02-14T07:52:12.412047Z	2022-02-14T07:52:12.412056Z	5.403
Aku cntik,independent,rjin, mls nk mmpos, noob, bodoh2 tp bijak,senyum manis tp muka selalu masam,caring, penyayang https://t.co/MBVUOXLo6Z	68064	Neutral	27	4058	2022-02-14T07:52:06.651350Z	2022-02-14T07:52:06.651358Z	8.577
#InfoMakmurJohor INFO LALUAN, PENUTUPAN JALAN DAN KEMUDAHAN YANG DISEDIAKAN SEMPENA PROGRAM PEMBERIAN SUNTIKAN VAKSIN AWAM DI PERSADA JOHOR BERMULA PADA 07 JUN 2021 HINGGA 27 JULAI 2021 https://t.co/GgtypNIKIT	68063	Neutral	27	4057	2022-02-14T07:51:57.668608Z	2022-02-14T07:51:57.668621Z	58.627
Area gebeng kuantan ada tak ? Nampak sedap jeeee	68062	Positive	27	4056	2022-02-14T07:50:58.627882Z	2022-02-14T07:50:58.627901Z	3255.445
Tasik Chini satu anugerah, Tempatnya indah dikelilingi bukit, Nak cari jodoh bukannya susah, Entah siapa kata nak b https://t.co/2VwLX6yh22	68061	Neutral	27	4055	2022-02-14T06:56:42.447732Z	2022-02-14T06:56:42.447743Z	17.479
@anthraxxxx Sis belakang tu, sedang update status	68060	Neutral	27	4054	2022-02-14T06:56:24.562413Z	2022-02-14T06:56:24.562426Z	3.945
Penat juga mimpi berlari turun naik tangga n so on. Bangun2 letih dia macam baru habis senam Bila dah half sedar https://t.co/jQ7WPMj8zD	68059	Negative	27	4053	2022-02-14T06:56:20.220593Z	2022-02-14T06:56:20.220607Z	4.867
Hanya menyampaikan suatu pertanyaan https://t.co/CjZYwVwzVa	68058	Neutral	27	4052	2022-02-14T06:56:14.955320Z	2022-02-14T06:56:14.955334Z	1.539
Vaccination as of 8/6 1st dose : 2,609,377 [+105,722](7.98%) KL : 20,525 Selangor : 17,038 Johor : 10,001 Sabah : https://t.co/V262Sns4gd	68057	Neutral	27	4051	2022-02-14T06:56:13.029605Z	2022-02-14T06:56:13.029620Z	2.144
benda nak buat apa pun kalau order atas aku, tunggu aku ada situ dulu. kejap lagi yang menjawab aku bukan hang	68056	Negative	27	4050	2022-02-14T06:56:10.500439Z	2022-02-14T06:56:10.500448Z	4.613
Chaitt...!!! Sembang pung pang pung pang pasal Islam, RUU355 sampai bertenggek kat Padang Merbok kononnya perjuangkan agama, at last tengok benda lucah kat belakang. Suka batang macam @RoslanSms ke? Takdir!!! https://t.co/SgXAwdVw9V	68054	Negative	27	4048	2022-02-14T06:56:01.923511Z	2022-02-14T06:56:01.923525Z	2.271
Gambar sekitar tasik chini yg dah bogel tu actually from 2019 bkn 2021. Dah jahanam dah tmpt tu kene rogol skang, x https://t.co/c8rCRSwH8U	68053	Negative	27	4047	2022-02-14T06:55:59.266114Z	2022-02-14T06:55:59.266127Z	5.65
RTLH di Kampung Negeri Batin, Kini Memasuki Tahap Pemasangan BatuBata https://t.co/jdXX67epSS	68052	Neutral	27	4046	2022-02-14T06:55:53.233632Z	2022-02-14T06:55:53.233645Z	3.618
Kalau dah degil mengalahkan buluh betong tu buat la iklan mcm mana sekalipun siap letak la siapa mati sekalipun tak https://t.co/fH5b3D3iow	68050	Negative	27	4044	2022-02-14T06:55:46.261191Z	2022-02-14T06:55:46.261204Z	2.86
@miloaismanis tu bukan nasi lemak bungkus	68048	Neutral	27	4042	2022-02-14T03:55:49.592055Z	2022-02-14T03:55:49.592066Z	1.838
TAHNIAH KERAJAAN @pakatanharapan_ SELANGOR	68047	Positive	27	4041	2022-02-14T03:55:47.338167Z	2022-02-14T03:55:47.338183Z	4.03
Kalaulah ramai yang boleh kongsi post ni. InsyaAllah cepatlah dana untuk pembinaan Masjid Tepi Sungai Tanah Merah ni akan cukup. Bolehkan pakat kongsi. https://t.co/Tw9yk0g1wE	68046	Positive	27	4040	2022-02-14T03:55:42.902684Z	2022-02-14T03:55:42.902699Z	5.301
Masak selangor kena ngan TMJ	68045	Neutral	27	4039	2022-02-14T03:55:37.165170Z	2022-02-14T03:55:37.165184Z	3.65
hahahah betul2 tea ni..	68044	Neutral	27	4038	2022-02-14T03:55:33.135739Z	2022-02-14T03:55:33.135751Z	2.072
@tar6hat Ketemu gak sengojo	68042	Neutral	27	4036	2022-02-14T03:55:27.826564Z	2022-02-14T03:55:27.826579Z	3.005
Keluar dari rumah apabila perlu sahaja. Optimakan amalan pembelian secara dalam talian (online). Info On Wheels 6/6/2021 Parlimen : Tumpat Dun : Wakaf Bharu / Kelaboran Masa : 10.00 pg / 2.00 ptg Hebahan Proklamasi Darurat/Vaksinasi/PKP 3.0 #bergheh https://t.co/y6IhPQEaFo	68041	Neutral	27	4035	2022-02-14T03:55:24.419206Z	2022-02-14T03:55:24.419220Z	4.919
Dan dah tercarut.	68040	Negative	27	4034	2022-02-14T03:55:19.084284Z	2022-02-14T03:55:19.084307Z	1.67
Apa si azfar buat kat situ? Rosaklah seni tanah air yang tah pape pun boleh jadi juri.	68039	Negative	27	4033	2022-02-14T03:55:17.032839Z	2022-02-14T03:55:17.032851Z	1.595
Korang ingat filem Babe ? Kisah babi duk kat bandar.. sekarang sudah menjadi realiti dan kemarahan orang Penang. Mengikut kajian... https://t.co/z8NcJvHa4b https://t.co/J7TgXqJ13r	68038	Negative	27	4032	2022-02-14T03:55:15.033358Z	2022-02-14T03:55:15.033372Z	5.405
Pehtu aku nak jogging kena balik Jerantut dulu keeeee mcm manaaaaa?	68037	Negative	27	4031	2022-02-14T03:55:09.192852Z	2022-02-14T03:55:09.192867Z	2.47
serious question, kalau barang dah sampai tapi ade barang lain out of stock then seller kata akan refund. buat maca https://t.co/Yk0o38vgDi	68036	Neutral	27	4030	2022-02-14T03:55:06.305711Z	2022-02-14T03:55:06.305725Z	4.198
"Baru ko tau naz....bilang orang Sabah ""apa ko rasa"" ""oren...Si sara itu dah tawar hati dengan ko.... Padan muka ko https://t.co/YtMD57hbqc"	68035	Negative	27	4029	2022-02-14T03:55:01.719105Z	2022-02-14T03:55:01.719118Z	3.708
@AmirudinShari Terbaik YB	68034	Positive	27	4028	2022-02-14T03:54:57.607960Z	2022-02-14T03:54:57.607986Z	1.244
Selamat Hari keputeraan Agong, Sembah Takzim daripada Team Mients Burger #MientsBurger #portDickson #thisismb https://t.co/uFP4qs6SDI	68032	Positive	27	4026	2022-02-14T03:54:53.016802Z	2022-02-14T03:54:53.016817Z	4.407
Aku boleh berpura-pura tersenyum Tapi aku tak reti nk berpura-pura bahagia	68031	Negative	27	4025	2022-02-14T03:54:48.210756Z	2022-02-14T03:54:48.210771Z	4.909
Bakal suami handsome pastu caring ya amattttt	68030	Positive	27	4024	2022-02-14T03:54:42.901660Z	2022-02-14T03:54:42.901675Z	1.794
@AishahAliah @Zureensya @khoirullzairy hmm sedihnyaa aaaa rinduu	68029	Neutral	27	4023	2022-02-14T03:54:40.705279Z	2022-02-14T03:54:40.705295Z	5.13
Berhati-hati, orang jahat lebih ramai dari dulu.	68027	Negative	27	4021	2022-02-14T03:54:31.725466Z	2022-02-14T03:54:31.725482Z	1.262
@chyygmsyhur Hmm biasalah tu, kalau sini corupt, Sabah punya corruption lagi lah 10x	68026	Negative	27	4020	2022-02-14T03:54:30.043758Z	2022-02-14T03:54:30.043771Z	1.879
Ini Big Tree, di hadapan Big School, MCKK. Pokok tua dan besar. Tapi tak pernah la pulak rasanya risau ada orang na https://t.co/rHv2hIyp4w	68025	Neutral	27	4019	2022-02-14T03:54:27.703134Z	2022-02-14T03:54:27.703174Z	5.21
Sebelum bapak aku tukar ke android dia guna phone yang tekan2 ni haa, yang penting postpaid bukan prepaid	68024	Neutral	27	4018	2022-02-14T03:54:22.080338Z	2022-02-14T03:54:22.080351Z	5.405
@qielayusoff Hahaha.. Dekat sushi king dia pakai time track tag untuk kawal freshness of the sushi.. Tak salah 2 @ https://t.co/nLycB7lGAS	68023	Neutral	27	4017	2022-02-14T03:54:16.260841Z	2022-02-14T03:54:16.260856Z	5.903
Mukah folks nang sporting awal pagi dah semangat nak cucuk 2nd dose. Hello from Mukah, Sarawak @JKJAVMY https://t.co/sjfwckPz68	68022	Positive	27	4016	2022-02-14T03:54:09.968977Z	2022-02-14T03:54:09.968990Z	6.628
Syurga!	68021	Positive	27	4015	2022-02-14T03:54:02.965754Z	2022-02-14T03:54:02.965769Z	1.749
@luneizzati lumut PKPD ke zati	68020	Neutral	27	4014	2022-02-14T03:54:00.810690Z	2022-02-14T03:54:00.810712Z	2.246
@ns_shrzhn Untuk Pembaca Matang	68019	Neutral	27	4013	2022-02-14T03:53:58.158114Z	2022-02-14T03:53:58.158131Z	4.087
Bentong dh kena close off. Makin banyak kwsn perumahan kena pkpd. Nasib baik dh lama pindah rumah	68018	Neutral	27	4012	2022-02-14T03:53:53.667150Z	2022-02-14T03:53:53.667160Z	5.99
Boleh pulak salah hantar document	68017	Negative	27	4011	2022-02-14T03:53:47.310637Z	2022-02-14T03:53:47.310650Z	3.165
Jika suami meninggal dunia : isteri akan dapat pampasan. Jika suami hilang upaya kekal : isteri akan dapat pa https://t.co/s5fL6iWDAf	68016	Neutral	27	4010	2022-02-14T03:53:43.750613Z	2022-02-14T03:53:43.750626Z	3.562
Rizalman contoh terbaik ISTIJRAJ. ISTIJRAJ. Ianya adalah pemberian nikmat Allah kepada manusia yang mana pemberian itu tidak diredhai-Nya.	68015	Negative	27	4009	2022-02-14T03:53:39.644561Z	2022-02-14T03:53:39.644574Z	8.127
@AmaqNadz tunggu mukhlis baca. harapnya tak perlu bacakan lah. hahah	68014	Negative	27	4008	2022-02-14T03:53:31.101004Z	2022-02-14T03:53:31.101020Z	2.253
@NurAina_Asri nk rentas ke mana pulak tu	68013	Neutral	27	4007	2022-02-14T03:53:28.458502Z	2022-02-14T03:53:28.458516Z	4.613
berita baik untuk anda yang mencari peluang pekerjaan:	68012	Positive	27	4006	2022-02-14T03:53:23.430872Z	2022-02-14T03:53:23.430884Z	2.039
Line HR ni slow skit. Cuma nak pesan tak rugi pun mkn habbatussauda tau. WHATSAP onlyhttps://t.co/6HmhRC9iGX Kli https://t.co/U092CZpuNK	68011	Neutral	27	4005	2022-02-14T03:53:20.932788Z	2022-02-14T03:53:20.932802Z	4.833
@Sheikaempire Hi, Aina jual Sambal hitam Mak Engku Boleh COD area Bangi/Kajang https://t.co/Cnf679D0jw	68010	Neutral	27	4004	2022-02-14T03:53:15.717457Z	2022-02-14T03:53:15.717469Z	2.186
@MugilanMohgam 1. Syed Saddiq penyokong kuat Tun M. So kena revise balik isu Tun M dengan kerabat Johor, baru faham. 2. Syed Saddiq juga pernah mengeluarkan isu ketuanan melayu tapi diputarbelitkan l. Ni antara point-point yang saya tahu lah as Johorean. Mungkin betul mungkin tidak. https://t.co/sUqqNdq6Nv	68007	Negative	27	4001	2022-02-14T03:53:07.073997Z	2022-02-14T03:53:07.074010Z	8.77
install pubg gik kita tok	68005	Neutral	27	3999	2022-02-14T03:52:54.237418Z	2022-02-14T03:52:54.237432Z	1.505
Takpe lah kalau takde jodoh. Hidup ni kalau nak paksikan jodoh kawin je mmg tak kemana. Selagi hidup ni boleh berba https://t.co/3rXrwVRrC0	68004	Neutral	27	3998	2022-02-14T03:52:52.346934Z	2022-02-14T03:52:52.346943Z	3.89
@sheilaibrahim Dia sorang je betul. Haha. Eh yeke? Innalilahiwainnailaihirajiun.	68003	Negative	27	3997	2022-02-14T03:52:48.051942Z	2022-02-14T03:52:48.051957Z	1.908
Permohonan Jawatan Kosong di Universiti Malaysia Perlis (UniMAP) - Kelayakan PMR/SPM/Diploma/Ijazah . 1. Pegawai Kebudayaan Gred B41 2. Pegawai Sains Gred C41 3. Pegawai Belia Dan Sukan Gred S41 4. Pegawai Psikologi Gred S41 5. Pegawai Perubatan Gred UD43/47 https://t.co/DOxnPdywRr	68002	Neutral	27	3996	2022-02-14T03:52:45.647463Z	2022-02-14T03:52:45.647481Z	8.815
@JackReacher75 @DrDzul @stfc_selangor @JKJAVMY Jadi?Takkan kerja @stfc_selangor hanya buat saringan sahaja.Tiada us https://t.co/HQwixVQgHV	68001	Negative	27	3995	2022-02-14T03:52:36.438646Z	2022-02-14T03:52:36.438664Z	5.396
@skinbynabiha hehe insyaAllah amin!!	68000	Positive	27	3994	2022-02-14T03:52:30.684064Z	2022-02-14T03:52:30.684078Z	2.122
Timeline hari ni dibanjiri perkataan bodoh ya	67998	Negative	27	3992	2022-02-14T03:52:23.647344Z	2022-02-14T03:52:23.647358Z	1.933
Mahu bersiaran LIVE dengan Caprice bersihkan nama bapa, anak Ahli Parlimen Pasir Salak dan bekas Pengerusi Prasarana Dato Seri Tajuddin Abdul Rahman direjam netizen. Perangai kau pun sama dengan bapak kau, tindas pekerja, kacau RD pekerja - Netizen Frahmine https://t.co/w3GYvEzSVS	67997	Negative	27	3991	2022-02-14T03:52:21.331919Z	2022-02-14T03:52:21.331931Z	8.925
Kenapa nak kene wish birthday dia?? Apa function ntah?	67995	Negative	27	3989	2022-02-14T03:52:08.457389Z	2022-02-14T03:52:08.457404Z	2.272
@syahirafarida aku wat partime laa kat edde nih. loni xleh nk ngaja lagi.	67994	Neutral	27	3988	2022-02-14T03:52:05.796872Z	2022-02-14T03:52:05.796884Z	6.063
Korang kalau rindu announcement kat airport/dalam flight, boleh datang cucuk vaksin kat IDCC Shah Alam. Our staff mostly former flight crew dari AirAsia and Malaysia Airlines https://t.co/M7HuYsPVvX	67993	Positive	27	3987	2022-02-14T03:51:59.354865Z	2022-02-14T03:51:59.354880Z	4.55
Itulah. Lain kali jgn saman membabi buta	67992	Negative	27	3986	2022-02-14T03:51:54.438825Z	2022-02-14T03:51:54.438841Z	1.78
tak ada hal yg lebih indah dan menyenangkan selain berkumpul dgn org yg kita sayangi, dan larut dlm canda tawa didlmnya	67991	Positive	27	3985	2022-02-14T03:51:52.297731Z	2022-02-14T03:51:52.297746Z	2.428
WonderDewi 14days kit Mask for RM109 only, with free postage (np: RM118) BOLEH BAYAR 2 KALI! #MCO #LOCKDOWN https://t.co/c1nfnTOQOn	67990	Neutral	27	3984	2022-02-14T03:51:49.469165Z	2022-02-14T03:51:49.469180Z	11.931
kejadian berlaku di....	67988	Neutral	27	3982	2022-02-14T03:51:30.864914Z	2022-02-14T03:51:30.864928Z	1.508
Pakej Kita Selangor 2.0 : Peruntukan RM551 juta untuk 1.6 juta rakyat https://t.co/2id9KcANRw	67987	Positive	27	3981	2022-02-14T03:51:28.928687Z	2022-02-14T03:51:28.928698Z	1.503
@JKJAVMY Kenapa Pulau Pinang kurang drpd kelmarin?!	67986	Negative	27	3980	2022-02-14T03:51:27.038207Z	2022-02-14T03:51:27.038223Z	3.227
menghormati sesama sendiri tu sangat penting ; terima arau tidak terpulang kepada pendengar atau pembaca yang pe https://t.co/TVUkGN1bBO	67985	Positive	27	3979	2022-02-14T03:51:23.424812Z	2022-02-14T03:51:23.424829Z	14.49
@ohjenal Nong macam mana hang tahu depa tak pakai underwear ahsjdjdldlf	67984	Negative	27	3978	2022-02-14T03:51:08.546471Z	2022-02-14T03:51:08.546485Z	7.552
Selamat Pagi Perlis. Salam 26 Syawal 1442H. #Perlis #Malaysia Kredit foto : IG @ mas_alia https://t.co/FA38hljxkm	67982	Neutral	27	3976	2022-02-14T03:50:57.157263Z	2022-02-14T03:50:57.157273Z	2.49
@LinaStylis Cantik nya jam tu fav colour lagi	67980	Positive	27	3974	2022-02-14T03:50:47.667158Z	2022-02-14T03:50:47.667171Z	1.852
okay done jadj gedik https://t.co/JB8k8DjvPe	67978	Neutral	27	3972	2022-02-14T03:50:43.009502Z	2022-02-14T03:50:43.009516Z	1.623
Assalamualaikum.kopi beng kaw kini ada dlm botol. teringin nak minum kopi beng boleh wasap. cod sekitar kuantan. sebotol Rm 4 https://t.co/g4jGkR3Akm @twtkuantan_food @KuantanTV @Twt_Kuantan https://t.co/9L4RnNXWyV	67977	Neutral	27	3971	2022-02-14T03:50:40.986665Z	2022-02-14T03:50:40.986677Z	3.487
@LagaCawan Tak nak bagi air kat Penang, tapi nak beli kereta kat Penang. Chibai. Muka macam gajah takde belalai.	67976	Negative	27	3970	2022-02-14T03:50:37.118462Z	2022-02-14T03:50:37.118474Z	5.097
Sikpa, biar Allah jak balas.	67975	Negative	27	3969	2022-02-14T03:50:31.633938Z	2022-02-14T03:50:31.633954Z	4.895
Kalau dapat ok lah, tak dapat pun takpa. Kalau dapat kena fikir masak2. Walaupun dalam Johor, tapi nak ke hujung ce https://t.co/tMBqqWPgE4	67974	Neutral	27	3968	2022-02-14T03:50:26.207721Z	2022-02-14T03:50:26.207729Z	27.386
@mkini_bm Kelantan ? No wonder lah.	67971	Negative	27	3965	2022-02-14T03:49:52.322387Z	2022-02-14T03:49:52.322411Z	1.991
Ni beza kerja swasta dengan kerajaan	67970	Neutral	27	3964	2022-02-14T03:49:49.934441Z	2022-02-14T03:49:49.934452Z	1.94
Bekerja dari rumah mampu menghalang dan menghentikan penyebaran COVID-19. #KitaAkanMenang #KomunikasiKita #JabatanPenerangan https://t.co/OyWS7VYnJB	67969	Positive	27	3963	2022-02-14T03:49:47.584317Z	2022-02-14T03:49:47.584330Z	1.969
Hilang orang yang kita sayang, nak redha tu bukan senang. Untung kalau dikelilingi orang yg memahami boleh bagi sem https://t.co/akNx3IPzSu	67968	Positive	27	3962	2022-02-14T03:49:45.168721Z	2022-02-14T03:49:45.168729Z	7.22
Teringinnya nak makan sushi .	67967	Neutral	27	3961	2022-02-14T03:49:37.560751Z	2022-02-14T03:49:37.560765Z	1.38
@imsmeran Jadi kek lumut..hahahaha Tambah cheese jadi la kek lumut cheese sedap	67966	Neutral	27	3960	2022-02-14T03:49:35.797457Z	2022-02-14T03:49:35.797469Z	9.084
@PudinDon @bossku_team @MatthewShanmug9 @Bossbm17 @1972_sst @mahazalimreturn @sirsazly @KochenkoSlovak @Lugzan11 @Bro2Face @iamjefrizain @piesmile2007 @MatthewShanmug8 @GlobalKid6 @TeohPaikLeong @HangBuah3 @Shawn35154099 @AjaxbroBro @61_garuda @1rmf5 @M_uhauha_no @RameshRaoAKS @kontarOP @wallaun_cyber @Danialskops @epieys @azrulzaidi6 @MacthDeath @rsharimah @Badacs1 @blackmerz101 @encikdoomex @MaisarraAnuar @terrencedass @AKUANAKWATAN @pussycat____ @footprintsmgmt @adzlanjazlan @ree89zl @mijjemije @manora6383 @KaliJag01989124 @LameshL @Shanmug8Matthew @amvanhuizen @ZakiWahab2 @rawmill816 @HowdyAyman1 @EvExcalibur @bharianmy Inilah bukti ketamakan anjing2 umno. Semakin hancur musnah bumi Msia ni kalo depa pegang. PAS pon sama. Di kedah, kelantan habis semua dirogol. Tapi takpalah satgi ada macai mai meroyan bawak dalil Isley, Melayu, 300Trillion bla bla bla	67965	Negative	27	3959	2022-02-14T03:49:26.284199Z	2022-02-14T03:49:26.284216Z	3.953
Bukti PAS ni tak tahu mende adalah bila dia anggap liberal dan komunis ada pemahaman politik yang sama	67964	Negative	27	3958	2022-02-14T03:49:21.921490Z	2022-02-14T03:49:21.921513Z	2.021
So aku jadi pandai balik. Hahahahaha taraaa selamat rumah tangga aku. Biasalah ada naik turun. But i still love him https://t.co/GOCR79Bca3	67963	Positive	27	3957	2022-02-14T03:49:19.504349Z	2022-02-14T03:49:19.504362Z	5.555
